IncidentID,IncidentType,Severity,Date,RootCause,Status,OwnerEmployeeID,ContainmentAction,LessonsLearned,LastUpdated,Asset Involved
INC2026-001,Phishing,Medium,05-01-2026,User clicked malicious link,Resolved,EMP005,Blocked sender and reset credentials,Increase phishing awareness,06-01-2026,LAP006; LAP009
INC2026-002,Malware Infection,High,12-01-2026,Outdated patch on workstation,Resolved,EMP039,Isolated device and ran EDR cleanup,Ensure timely patching,13-01-2026,LAP038
INC2026-003,Unauthorized Access Attempt,High,15-01-2026,Brute-force login attempts,Contained,EMP008,Blocked IP and enabled stricter lockout,Enable geo-blocking,16-01-2026,LAP003
INC2026-004,Data Exposure,High,18-01-2026,Misconfigured S3 bucket,Resolved,EMP072,Restricted bucket and enabled encryption,Implement automated config scanning,19-01-2026,LAP071
INC2026-005,Service Outage,Medium,20-01-2026,Network switch failure,Resolved,EMP018,Replaced faulty switch,Improve hardware lifecycle mgmt,21-01-2026,LAP018; NET006; NET007; NET017; NET018
INC2026-006,Email Compromise,High,22-01-2026,Weak password reused,Resolved,EMP039,Forced MFA and password reset,Enforce password hygiene,23-01-2026,LAP038
INC2026-007,Ransomware Attempt,Critical,25-01-2026,Malicious attachment,Contained,EMP008,Blocked file and isolated user,Improve attachment scanning,26-01-2026,LAP003
INC2026-008,Privilege Misuse,Medium,27-01-2026,Overprivileged service account,In Progress,EMP011,Revoked unnecessary permissions,Review service account roles,28-01-2026,LAP001; LAP002; LAP012; LAP013; LAP014; LAP015; LAP016; LAP017; LAP018; LAP019; LAP020; LAP021; LAP022; LAP023; LAP024; LAP025; LAP026; LAP027; LAP028; LAP029; LAP030; LAP031; LAP032; LAP033; LAP034; LAP035; LAP036; LAP037; LAP038; LAP039; LAP040; LAP041; LAP042; LAP043; LAP044; LAP045; LAP046; LAP047; LAP048; LAP049; LAP050; LAP051; LAP052; LAP053; LAP054; LAP055; LAP056; LAP057; LAP058; LAP059; LAP060; LAP061; LAP062; LAP063; LAP064; LAP065; LAP066; LAP067; LAP068; LAP069; LAP070; LAP071; LAP072; LAP073; LAP074; LAP075; LAP076; LAP077; LAP078; LAP079; LAP080; LAP081; LAP082; LAP083; LAP084; LAP085; LAP086; LAP087; LAP088; LAP089; LAP090; LAP091; LAP092; LAP093; LAP094; LAP095; LAP096; LAP097; LAP098; LAP099; LAP100
INC2026-009,Database Error,Medium,28-01-2026,Incorrect DB configuration,Resolved,EMP071,Restored config from backup,Improve DB change control,29-01-2026,SRV008; SRV009; SRV015; SRV016; SRV017
INC2026-010,Firewall Misconfiguration,High,29-01-2026,Incorrect rule allowing broad access,In Progress,EMP018,Removed rule and reviewed ACLs,Implement rule review workflow,30-01-2026,NET001; NET002; NET006; NET007; NET011; NET012; NET013; NET014; NET017; NET018; NET019; NET020
INC2026-011,Lost Mobile Device,Low,30-01-2026,Employee misplaced phone,Resolved,EMP011,Performed remote wipe,Ensure MDM compliance,31-01-2026,MOB001
INC2026-012,SIEM Alert: Suspicious Login,Medium,01-02-2026,Login from unusual location,Contained,EMP053,Forced MFA revalidation,Improve SIEM alert tuning,02-02-2026,LAP052
INC2026-013,Backup Failure,High,01-02-2026,Storage quota exceeded,Resolved,EMP037,Expanded storage and reran backup,Monitor backup capacity,02-02-2026,SRV001; SRV002; SRV003; SRV004; SRV018; SRV019; SRV020
INC2026-014,API Abuse Attempt,Medium,02-02-2026,Unusual API traffic,Contained,EMP062,Rate-limited offending IPs,Enhance API monitoring,03-02-2026,SRV005; SRV006; SRV007; SRV010
INC2026-015,Insider Policy Violation,Medium,03-02-2026,Unauthorized file transfer,In Progress,EMP034,Revoked access and initiated HR review,Improve DLP rules,04-02-2026,LAP033
INC2026-016,Web Server Outage,High,03-02-2026,Application bug,Resolved,EMP037,Restarted service and applied patch,Improve QA testing,04-02-2026,SRV003
INC2026-017,Phishing Simulation Failure,Low,04-02-2026,User clicked simulated phish,Resolved,EMP053,Assigned training module,Increase training frequency,05-02-2026,LAP052
INC2026-018,Cloud IAM Misconfiguration,High,05-02-2026,Overly permissive IAM role,Resolved,EMP072,Restricted role and reviewed policies,Implement IAM automation,06-02-2026,LAP071
INC2026-019,Unauthorized USB Device,Medium,06-02-2026,User connected personal USB,Resolved,EMP039,Blocked device and warned user,Reinforce USB policy,07-02-2026,LAP038
INC2026-020,DoS Attempt,High,07-02-2026,External traffic spike,Contained,EMP018,Enabled rate limiting and blocked IPs,Enhance perimeter monitoring,08-02-2026,NET006; NET007; NET017; NET018
